Year of award,Name,Film,Oscar category,Birth place,Birth date,Race/Ethnicity,Religion,Sexual orientation,Bio URL,_unit_state
1954,Frank Sinatra,From Here to Eternity,Best Supporting Actor,"Hoboken, Nj",12-Dec-15,White,Na,Straight,http://www.nndb.com/people/300/000026222/,finalized
1969,Barbra Streisand,Funny Girl,Best Actress,"Brooklyn, Ny",24-Apr-42,White,Jewish,Straight,http://www.nndb.com/people/526/000022460/,finalized
1983,Ben Kingsley,Gandhi,Best Actor,"Scarborough, Yorkshire, England",31-Dec-43,Multiracial,Quaker,Straight,http://www.nndb.com/people/519/000024447/,finalized
1945,Ingrid Bergman,Gaslight,Best Actress,"Stockholm, Sweden",29-Aug-15,White,Na,Straight,http://www.nndb.com/people/836/000024764/,finalized
1948,Celeste Holm,Gentleman's Agreement,Best Supporting Actress,New York City,29-Apr-17,White,Na,Straight,http://www.nndb.com/people/084/000063892/,finalized
1991,Whoopi Goldberg,Ghost,Best Supporting Actress,New York City,13-Nov-55,Black,Atheist,Straight,http://www.nndb.com/people/242/000025167/,finalized
1957,George Stevens,Giant,Best Director,"Oakland, Ca",18-Dec-04,White,Na,Straight,http://www.nndb.com/people/382/000044250/,finalized
1959,Vincente Minnelli,Gigi,Best Director,"Chicago, Il",28-Feb-03,White,Na,Bisexual,http://www.nndb.com/people/825/000032729/,finalized
2000,Angelina Jolie,"Girl, Interrupted",Best Supporting Actress,"Los Angeles, Ca",4-Jun-75,White,Buddhist,Bisexual,http://www.nndb.com/people/493/000023424/,finalized
2001,Russell Crowe,Gladiator,Best Actor,"Wellington, New Zealand",7-Apr-64,White,Na,Straight,http://www.nndb.com/people/782/000022716/,finalized
1990,Denzel Washington,Glory,Best Supporting Actor,"Mount Vernon, Ny",28-Dec-54,Black,Protestant,Straight,http://www.nndb.com/people/665/000023596/,finalized
1945,Bing Crosby,Going My Way,Best Actor,"Tacoma, Wa",3-May-03,White,Roman Catholic,Straight,http://www.nndb.com/people/651/000026573/,finalized
1940,Vivien Leigh,Gone with the Wind,Best Actress,"Darjeeling, India",5-Nov-13,White,Roman Catholic,Straight,http://www.nndb.com/people/470/000022404/,finalized
1991,Joe Pesci,Good Fellas,Best Supporting Actor,"Newark, Nj",9-Feb-43,White,Na,Straight,http://www.nndb.com/people/582/000022516/,finalized
1998,Robin Williams,Good Will Hunting,Best Supporting Actor,"Chicago, Il",21-Jul-51,White,Anglican/episcopalian,Straight,http://www.nndb.com/people/606/000022540/,finalized
1940,Robert Donat,Goodbye Mr. Chips,Best Actor,"Withington, Manchester, England",18-Mar-05,White,Na,Straight,http://www.nndb.com/people/742/000063553/,finalized
1968,Katharine Hepburn,Guess Who's Coming to Dinner,Best Actress,"Hartford, Ct",12-May-07,White,Atheist,Bisexual,http://www.nndb.com/people/775/000023706/,finalized
1949,Laurence Olivier,Hamlet,Best Actor,"Dorking, Surrey, England",22-May-07,White,Na,Bisexual,http://www.nndb.com/people/607/000022541/,finalized
1987,Michael Caine,Hannah and Her Sisters,Best Supporting Actor,"Bermondsey, England",14-Mar-33,White,Na,Straight,http://www.nndb.com/people/754/000022688/,finalized
1975,Art Carney,Harry and Tonto,Best Actor,"Mount Vernon, Ny",4-Nov-18,White,Na,Straight,http://www.nndb.com/people/182/000025107/,finalized
1951,Josephine Hull,Harvey,Best Supporting Actress,"Newtonville, Ma",3-Jan-1886,White,Na,Straight,http://www.nndb.com/people/087/000063895/,finalized
1953,Gary Cooper,High Noon,Best Actor,"Helena, Mt",7-May-01,White,Roman Catholic,Straight,http://www.nndb.com/people/740/000031647/,finalized
1942,Donald Crisp,How Green Was My Valley,Best Supporting Actor,"London, England",27-Jul-1880,White,Na,Straight,http://www.nndb.com/people/689/000031596/,finalized
1993,Emma Thompson,Howards End,Best Actress,"London, England",15-Apr-59,White,Na,Straight,http://www.nndb.com/people/627/000025552/,finalized
1964,Patricia Neal,Hud,Best Actress,"Packard, Ky",20-Jan-26,White,Roman Catholic,Straight,http://www.nndb.com/people/226/000042100/,finalized
1959,Susan Hayward,I Want To Live!,Best Actress,"Brooklyn, Ny",30-Jun-18,White,Roman Catholic,Straight,http://www.nndb.com/people/805/000063616/,finalized
